Episode 1/1000 | Score: 200 | Reward: -103.07 | Epsilon: 1.00
WARNING:tensorflow:From C:\Users\ACER\AppData\Local\Programs\Python\Python311\Lib\site-packages\keras\src\utils\tf_utils.py:492: The name tf.ragged.RaggedTensorValue is deprecated. Please use tf.compat.v1.ragged.RaggedTensorValue instead.

Episode 2/1000 | Score: 200 | Reward: -89.29 | Epsilon: 0.99
Episode 3/1000 | Score: 200 | Reward: -124.81 | Epsilon: 0.99
Episode 4/1000 | Score: 200 | Reward: -127.30 | Epsilon: 0.99
Episode 5/1000 | Score: 200 | Reward: -166.29 | Epsilon: 0.98
Episode 6/1000 | Score: 200 | Reward: -101.88 | Epsilon: 0.98
Episode 7/1000 | Score: 200 | Reward: -151.88 | Epsilon: 0.97
Episode 8/1000 | Score: 200 | Reward: -150.85 | Epsilon: 0.97
Episode 9/1000 | Score: 200 | Reward: -121.22 | Epsilon: 0.96
Episode 10/1000 | Score: 200 | Reward: -101.34 | Epsilon: 0.96
Episode 11/1000 | Score: 200 | Reward: -77.95 | Epsilon: 0.95
Episode 12/1000 | Score: 200 | Reward: -107.73 | Epsilon: 0.95
Episode 13/1000 | Score: 200 | Reward: -125.31 | Epsilon: 0.94
Episode 14/1000 | Score: 200 | Reward: -159.82 | Epsilon: 0.94
Episode 15/1000 | Score: 200 | Reward: -149.91 | Epsilon: 0.93
Episode 16/1000 | Score: 200 | Reward: -87.10 | Epsilon: 0.93
Episode 17/1000 | Score: 200 | Reward: -115.13 | Epsilon: 0.92
Episode 18/1000 | Score: 200 | Reward: -117.40 | Epsilon: 0.92
Episode 19/1000 | Score: 200 | Reward: -116.30 | Epsilon: 0.91
Episode 20/1000 | Score: 200 | Reward: -84.99 | Epsilon: 0.91
Episode 21/1000 | Score: 200 | Reward: -141.25 | Epsilon: 0.90
Episode 22/1000 | Score: 200 | Reward: -168.04 | Epsilon: 0.90
Episode 23/1000 | Score: 200 | Reward: -116.74 | Epsilon: 0.90
Episode 24/1000 | Score: 200 | Reward: -97.44 | Epsilon: 0.89
Episode 25/1000 | Score: 200 | Reward: -90.57 | Epsilon: 0.89
Episode 26/1000 | Score: 200 | Reward: -156.47 | Epsilon: 0.88
Episode 27/1000 | Score: 200 | Reward: -89.43 | Epsilon: 0.88
Episode 28/1000 | Score: 200 | Reward: -108.01 | Epsilon: 0.87
Episode 29/1000 | Score: 200 | Reward: -162.94 | Epsilon: 0.87
Episode 30/1000 | Score: 200 | Reward: -87.91 | Epsilon: 0.86
Episode 31/1000 | Score: 200 | Reward: -104.70 | Epsilon: 0.86
Episode 32/1000 | Score: 200 | Reward: -157.56 | Epsilon: 0.86
Episode 33/1000 | Score: 200 | Reward: -138.03 | Epsilon: 0.85
Episode 34/1000 | Score: 200 | Reward: -159.01 | Epsilon: 0.85
